column_name,feature_group,source_product,source_column,current_status,allowed_ml_use,prohibited_use,upgrade_needed,notes
public_ml_feature_scaffold_version,product_metadata,public_ml_feature_scaffold,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
public_product_role,product_metadata,public_ml_feature_scaffold,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
ml_row_grain,product_metadata,public_ml_feature_scaffold,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
object_id,well_identity,stability_screen;well_context,object_id,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
permit_number,well_identity,stability_screen;well_context,permit_number,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
api_number,well_identity,stability_screen;well_context,api_number,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
well_name,well_identity,stability_screen;well_context,well_name,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
field,well_identity,stability_screen;well_context,field,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
pool,well_identity,stability_screen;well_context,pool,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
lat,well_location,stability_screen,lat,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
lon,well_location,stability_screen,lon,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
current_status,well_context,well_context,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
hydrate_assessment_codes,regional_context,well_context;stability_screen,hydrate_assessment_codes,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
hydrate_assessment_unit_count,regional_context,well_context;stability_screen,derived,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
within_hydrate_assessment_unit,regional_context,well_context;stability_screen,within_hydrate_assessment_unit,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
tvd_m,depth_context,well_context;stability_screen,tvd_m,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
depth_source,depth_context,well_context;stability_screen,depth_source,public_feature_available_with_caveats,candidate feature or coverage/audit field,Do not use without source/caveat awareness.,Use approved runtime data or improved public controls to strengthen this field.,Public-source feature scaffold field.
