evidence_order,tier,parameter_family,canonical_fields,display_unit,low_axis_label,high_axis_label,hydrate_window_norm_start,hydrate_window_norm_end,hydrate_direction_label,opposing_or_mimic_label,working_screening_envelope,comparison_envelopes,physical_reason,hydrate_support,false_positives_or_masks,ml_role,source_basis,source_status,public_guardrail
1,Stability context,Pressure-temperature stability,"depth_m;pressure_mpa;temperature_c;phase_boundary_temperature_c","C; MPa; m",outside,inside,0.60,1.00,admissible,unstable,"T_model <= T_eq under methane 5 ppt baseline","Permafrost depth scenarios 305/610/914 m; geothermal gradients 2.0/3.2/4.0 C per 100 m; hydrostatic pore-pressure gradient 9.795 kPa/m",Methane hydrate is stable only inside a pressure-temperature window.,Inside the modeled window means hydrate is physically admissible under the stated methane and salinity assumptions.,"Local thermal gradient, abnormal pressure, salinity, gas chemistry, depth-unit error, and source coverage can shift or block the interval.","Context, mask, confidence, caveat; not occurrence or saturation.","SCIENCE_TO_ML_LOGIC_LADDER; STABILITY_CALCULATION_PLAN; public stability source bundle","source_backed_context; calculation_guarded","Admissible is not proof; top/base/thickness remain conditional until assumptions and sources are locked."
2,Reservoir quality,Gamma ray clean-sand proxy,gr_api,API,clean,shaly,0.00,0.35,clean,shale,"Relative low GR; no final numeric project cutoff yet","High GR / shale-prone interval is a negative reservoir-quality flag",Natural gamma radiation separates cleaner sand from shale-prone intervals.,Low GR can support reservoir-quality sand that can host pore-filling hydrate.,"Clean sand without hydrate, radioactive minerals, thin shale laminations, and depth mismatch can mislead.","Reservoir gate and input feature; never a hydrate label.","SCIENCE_TO_ML_LOGIC_LADDER; WELL_LOG_REQUIREMENTS_MAP; ML_PIPELINE_BASELINE_SOURCE_LEDGER","directional_screening_envelope","Low GR supports reservoir quality only when paired with porosity, hydrate-response logs, QC, and stability context."
3,Reservoir quality,Porosity and density support,"rhob_g_cc;density_porosity_vv;neutron_porosity_vv","g/cc; v/v",tight,porous,0.45,0.75,porous,shale_or_washout,"Hydrate sand: RHOB 2.00-2.30 g/cc; phi 0.20-0.35 v/v; NPHI 0.20-0.35 v/v","Water sand phi 0.25-0.40; gas sand phi 0.25-0.45; shale phi 0.05-0.20 with clay effects",Density and porosity constrain available pore volume and elastic calculations.,Porous clean sand gives storage capacity for pore-filling hydrate.,"Shale, carbonate, coal, compaction, unit confusion, gas effect, and washout can distort porosity/density.","Input feature and equation input with provenance; cross-check with lithology and QC.","SCIENCE_TO_ML_LOGIC_LADDER; WELL_LOG_REQUIREMENTS_MAP; ML_PIPELINE_BASELINE_SOURCE_LEDGER","working_screening_envelope_from_project_synthesis","Porosity supports storage; it does not prove hydrate."
4,Hydrate response,NMR porosity and NMR-density separation,"nmr_porosity_vv;nmr_density_separation;nmr_sat_target","v/v or target unit pending",mobile_water,separation,0.60,0.90,separation,water_or_clay,"Directional separation; no final numeric cutoff yet","NMRPHI can be an input if measured; NMR_SAT is target/calibration only",NMR distinguishes mobile pore-fluid response and can support independent saturation estimates.,NMR-density separation or NMR-derived saturation can support hydrate interpretation.,"Missing NMR, clay-bound water, processing settings, and depth mismatch can mislead.","NMRPHI may be input; NMR_SAT/Sgh/Sh are Y-only target or calibration references.","SCIENCE_TO_ML_LOGIC_LADDER; WELL_LOG_REQUIREMENTS_MAP; ML_PIPELINE_BASELINE_SOURCE_LEDGER","directional_screening_envelope; target_boundary_required","NMR-derived saturation labels must never enter X_allowed."
5,Hydrate response,Deep resistivity response,rt_ohm_m,ohm-m,conductive,resistive,0.65,0.98,resistive,water_or_mimic,"Hydrate sand: 10-100+ ohm-m","Water sand 1-5; gas sand 10-100+; ice/frozen 100-1000+; shale 1-10; clay-rich 0.5-5",Hydrate replaces conductive pore water and can raise formation resistivity.,Higher Rt in clean porous sand can support hydrate response.,"Free gas, ice, tight rock, carbonates/cement, salinity assumptions, invasion, shale correction, and washout can also raise or distort resistivity.","Log-transform and combine with lithology, porosity, elastic features, QC, and stability context.","SCIENCE_TO_ML_LOGIC_LADDER; ML_PIPELINE_BASELINE_SOURCE_LEDGER","working_screening_envelope_from_project_synthesis","High resistivity alone is not hydrate proof."
6,Hydrate response,Compressional velocity stiffness,vp_m_s,km/s,slow,fast,0.58,0.88,stiff,soft_or_mimic,"Hydrate sand Vp: 2.5-4.0 km/s","Water sand 2.0-3.0; gas sand 1.5-2.5; ice/frozen 3.0-4.2; shale 2.5-4.5",Hydrate can stiffen the sediment frame and raise compressional velocity.,Higher Vp with clean sand and Vs support can indicate hydrate-bearing sediment.,"Ice, cement, carbonate, compaction, competent lithology, stress, and unit conversion can mimic high Vp.","Measured input and source for impedance and elastic moduli.","SCIENCE_TO_ML_LOGIC_LADDER; WELL_LOG_REQUIREMENTS_MAP; ML_PIPELINE_BASELINE_SOURCE_LEDGER","working_screening_envelope_from_project_synthesis","Velocity needs unit provenance and elastic/lithology cross-checks."
7,Hydrate response,Shear velocity and rigidity,"vs_m_s;shear_modulus_gpa;mu_rho","km/s; GPa",weak,rigid,0.60,0.95,rigid,gas_or_cement,"Hydrate sand Vs: 1.0-2.5 km/s; G: 5-25 GPa; mu-rho: 10-55 GPa*g/cc","Gas sand Vs 0.3-1.0 and G 0.5-5; water sand Vs 0.5-1.5 and G 1-10",Hydrate increases rigidity; free gas does not stiffen the frame the same way.,Higher Vs and rigidity support hydrate-related frame stiffening.,"Ice, cement, carbonate, lithology, stress, and missing shear sonic can mimic or block the signal.","Input feature and source for mu-rho, shear modulus, and Vp/Vs.","SCIENCE_TO_ML_LOGIC_LADDER; ML_PIPELINE_BASELINE_SOURCE_LEDGER","working_screening_envelope_from_project_synthesis","Rigidity is strong support only when reservoir, resistivity, QC, and stability context agree."
8,Hydrate response,Vp/Vs ratio,vp_vs_ratio,dimensionless,lower,higher,0.25,0.55,stiffer,gas_overlap,"Hydrate broad screening range: 1.6-2.4; tighter crossplot hypothesis: 1.4-1.6 pending calibration","Gas sand 2.0-4.5; water sand 1.8-3.2",The ratio captures coupled compressional and shear behavior.,Hydrate can trend toward stiffer lower-ratio behavior than gas in some contexts.,"Strong overlap among gas, water, shale, ice, lithology, and stress effects.","Derived crossplot feature; useful only with source curves and context.","SCIENCE_TO_ML_LOGIC_LADDER; ML_PIPELINE_BASELINE_SOURCE_LEDGER","working_screening_envelope_with_conflict_note","Use broad range for screening; tighter range is only a hypothesis until calibrated."
9,Hydrate response,Acoustic impedance and elastic contrast,"acoustic_impedance;lambda_rho;mu_rho","project units pending",low_contrast,high_contrast,0.55,0.88,contrast,mimic,"Hydrate P-impedance: 5.5-8.5; lambda-rho: 12-55; mu-rho: 10-55","Gas P-impedance 3.0-5.5; water 4.5-7.0; shale 6.0-11.0",Impedance and elastic attributes combine density and velocity behavior.,Hydrate-bearing sand can show higher stiffness/impedance and rigidity contrast.,"Compaction, lithology, cement, carbonate, stress, unit errors, bad density, or bad velocity can mimic contrast.","Derived feature with inherited provenance; crossplot and model input after unit checks.","SCIENCE_TO_ML_LOGIC_LADDER; ML_PIPELINE_BASELINE_SOURCE_LEDGER","working_screening_envelope_from_project_synthesis","Elastic attributes inherit all density and velocity caveats."
10,QC and review,Caliper and bad-hole QC,"caliper_in;differential_caliper","in; mm",in_gauge,washout,0.00,0.25,trust,washout,"Coverage-first QC; no final washout threshold until bit size, unit, and sign convention are confirmed","If missing, create missing-QC flag rather than pretending a filter was applied","Borehole size controls whether density, neutron, sonic, and resistivity logs are trustworthy.",In-gauge intervals support use of the other curves.,"Washout, rugosity, tool standoff, bit-size reference errors, and sign convention errors corrupt logs.","QC exclusion, downweighting, or missingness flag; not hydrate evidence.","SCIENCE_TO_ML_LOGIC_LADDER; WELL_LOG_REQUIREMENTS_MAP; ML_PIPELINE_BASELINE_SOURCE_LEDGER","coverage_first_qc","Caliper is a trust gate, not a hydrate signal."
11,Targets and validation,Occurrence and saturation labels,"occurrence_label;Sgh;S_h;Sh;NMR_SAT;Hydrate Saturation;Swr","target unit pending",predictor,target,0.00,0.00,Y_only,leakage,"No predictor range; target-only rail","Saturation field authority and fraction-vs-percent policy pending",Targets supervise training and validation rather than describing independent input evidence.,Occurrence and saturation labels provide ground truth only after approved source authority is locked.,"Using target columns as predictors creates leakage and fake performance.","Y-only target, calibration, validation, and residual review; never X_allowed.","WELL_LOG_REQUIREMENTS_MAP; APPROVED_DATA_INTAKE_SPEC; FIRST_MODEL_EXPERIMENT_PLAN","target_boundary_required","Targets must never enter the feature matrix."
