input_name,capability_status,current_source,current_coverage,supports_now,does_not_support_yet,future_upgrade,screen_role,guardrail
Public well location,ready_public_input,Alaska DNR Well Bottom Hole Location,"8,084 Arctic Slope public wells in current scaffold","Map joins, AU context, nearest public permafrost/temperature control joins.","Bottom-hole path, deviation survey, or approved well-log depth alignment.","Approved well coordinates, deviation surveys, and interval-level joins.",Spatial context and control-distance confidence input.,Location context is not hydrate evidence.
Public well depth,ready_public_input_with_caveat,DNR TrueVertic preferred; DrillerTot fallback,"Public depth available for 7,578 scaffold wells",Pressure-at-depth estimates and reach tests for candidate intervals.,"Final log-depth datums, measured-depth to TVD conversion, or interval picks.",Approved workbook/LAS depth basis and datum reconciliation.,Depth basis for public stability screening.,DrillerTot fallback is lower-confidence than TrueVertic.
Permafrost point control,partial_public_input,NSIDC GGD223 nearest permafrost-depth controls,"43 public controls; nearest control assigned to 8,084 scaffold wells",Permafrost context and control-distance confidence labels.,Continuous base-of-ice-bearing-permafrost surface.,Digitized/georeferenced USGS OM-222 or another public GIS surface.,Thermal-context input and caveat source.,Nearest point control is not a mapped permafrost-base surface.
Temperature profiles,partial_public_input,NSIDC G10015 processed borehole temperature logs,184 profiles; 483 scaffold rows matched; 374 rows ready for phase-curve inputs,Temperature interpolation and limited gradient extrapolation for matched rows.,Final stability calculation for unmatched wells.,Well-specific temperature models and uncertainty bands.,Primary temperature model source for the first public screen.,Rows without a matched profile stay blocked or scenario-only.
Hydrostatic pressure,ready_baseline_assumption,Freshwater hydrostatic equation plus atmospheric pressure for absolute P-T comparison,Available for scaffold rows with public depth or permafrost-control depth,Gauge and absolute pressure estimates for phase-curve lookup.,"Measured formation pressure, overpressure, salinity-density, or gas-column effects.",Approved pressure data or versioned brine-density scenarios.,Baseline pressure model.,"Hydrostatic pressure is an assumption, not measured reservoir pressure."
100 percent methane phase curve,ready_official_baseline,USGS SIR 2008-5175 Figure 1A digitized lookup,41 monotonic lookup rows; official_public_baseline,Baseline methane hydrate pressure-temperature equilibrium lookup.,"Mixed gas, measured gas, or alternate salinity final runs.",Direct CSMHYD/CSMGem export if obtained.,Official mentor-approved phase-curve baseline.,Baseline stability is necessary but not sufficient for hydrate presence.
Mixed-gas phase curve,scenario_candidate_only,Collett et al. 2011 / Holder et al. 1987 mixed-gas figure,"Source identified for 98% methane, 1.5% ethane, 0.5% propane; no lookup yet",Justifies variable-capable architecture and sensitivity planning.,Final stability outputs or freeform composition interpolation.,Digitize the curve or generate it from a cited thermodynamic model.,Sensitivity candidate only.,Do not apply until a versioned lookup or model export exists.
Gas composition,future_approved_or_scenario_input,Baseline assumption and literature scenario only,Baseline methane fraction is fixed at 100%; no measured well gas composition in repo,Baseline and cataloged sensitivity metadata.,Measured-gas stability calculation.,Approved gas composition fields or cited composition-specific model curves.,Phase-curve selector metadata.,No freeform gas slider without thermodynamic-model support.
Salinity,baseline_assumption_only,USGS SIR 2008-5175 methane + 5 ppt salt-water curve,Baseline salinity fixed at 5 ppt for current lookup,Official baseline phase-curve assumption.,Well-specific salinity or alternate salinity final runs.,Approved formation-water salinity or versioned salinity scenarios.,Phase-curve assumption metadata.,Changing salinity requires a new curve/run ID.
Hydrate assessment units,ready_public_context,USGS 2019 Northern Alaska gas hydrate assessment unit polygons,"3 hydrate AUs; 7,992 scaffold wells inside one or more AUs",Regional context and outside-AU caveat labels.,"Direct hydrate occurrence, saturation, or reservoir quality.",Approved interval evidence and reservoir-quality data.,"Regional context filter, not proof.",AU membership is not a detection.
Approved logs and core labels,blocked_future_approved_data,Not present in public repo,"No real well-log rows, core rows, or authoritative saturation labels committed",Architecture and schema planning only.,"Occurrence classification, saturation regression, or sweet-spot ranking.",Approved runtime workbook/LAS/core tables and target registry.,Future ML input and target source.,Do not train or claim model results from public scaffold rows.
