source_reference,sheet_or_dataset_name,original_header,canonical_alias,role,feature_family,unit_status,required_for_model,available_in_current_subset,expected_in_future_71_dataset_collection,leakage_risk,allowed_use,prohibited_use,unresolved_question,notes
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,DEPTH,depth_value,measured_input,depth_index,ft_or_m_requires_source_unit,required,yes_header_visible,yes_expected,low,Use as row/depth index after unit conversion,Do not assume feet or meters without source metadata,Which sheets use feet versus meters?,Preserve original depth mnemonic and store canonical depth_m separately.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,True Depth,true_depth_value,measured_input,depth_index,ft_or_m_requires_source_unit,required,yes_header_visible,yes_expected,low,Use as preferred vertical-depth basis where confirmed,Do not substitute measured depth for true vertical depth without a flag,Is True Depth always TVD or a workbook label?,Depth basis matters for pressure temperature context and whole-well alignment.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,Depth_ft,depth_ft,measured_input,depth_index,feet_explicit,required,yes_header_visible,yes_expected,low,Convert to canonical depth_m with original retained,Do not alias directly to depth_m,Is this always the sampling depth or a source depth vector?,Header already indicates feet.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,DEPT,depth_value,measured_input,depth_index,ft_or_m_requires_source_unit,required,yes_header_visible,yes_expected,low,Map as depth only after source unit is documented,Do not silently combine with DEPTH if units differ,Which unit convention does DEPT use in each sheet?,Tool mnemonic variant for depth.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,Rho_b,rhob,measured_input,density,g_cc_or_kg_m3_unresolved,required_or_recommended,yes_header_visible,yes_expected,low,Use as measured bulk density after unit normalization,Do not calculate elastic attributes until density units are confirmed,Is Rho_b in g/cc or kg/m3 in each sheet?,Original header preserved before canonical rhob_g_cc mapping.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,RHOB,rhob,measured_input,density,g_cc_or_kg_m3_unresolved,required_or_recommended,yes_header_visible,yes_expected,low,Use as measured bulk density after unit normalization,Do not mix with density-derived porosity without provenance,Which logs use RHOB versus Rho_b?,Common density mnemonic.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,Density_gpcc,rhob,measured_input,density,g_cc_spelling_needs_confirmation,required_or_recommended,yes_header_visible,yes_expected,low,Use as density if workbook confirms this is g/cc,Do not assume spelling or unit without preserving source header,Does the workbook spell this Density_gpcc or Density_gcpcc?,Project notes include both density spelling variants.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,Phi_porosity,density_porosity,derived_feature,porosity,fraction_or_percent_unresolved,recommended,yes_header_visible,yes_expected,medium,Use as porosity feature only after unit and derivation source are confirmed,Do not treat as measured density or target,Is Phi_porosity supplied directly or calculated from density?,One screenshot unit is inconsistent in the requirements map.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,phi_den,density_porosity,derived_feature,porosity,fraction_or_percent_unresolved,recommended,yes_header_visible,yes_expected,medium,Use as density-porosity feature with source provenance,Do not treat as an independent measured curve if derived from RHOB,Was phi_den calculated in workbook or imported as a curve?,Derived porosity inherits density and matrix-density assumptions.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,DPHI,density_porosity,derived_feature,porosity,fraction_or_percent_unresolved,recommended,yes_header_visible,yes_expected,medium,Use as density-porosity alias after unit normalization,Do not use before checking fraction versus percent,What matrix and fluid density assumptions created DPHI?,Source formula must be reviewed before final modeling.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,NMRPHI,nmr_porosity,measured_input,nmr_porosity,fraction_or_percent_unresolved,recommended,yes_header_visible,yes_expected,medium,Use as measured NMR porosity input where available,Do not confuse with NMR_SAT target,Which NMR processing settings apply?,NMRPHI is input-capable if measured independently.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,phi_nmr,nmr_porosity,measured_input,nmr_porosity,fraction_or_percent_unresolved,recommended,yes_header_visible,yes_expected,medium,Use as NMR porosity input with provenance,Do not merge with NMR_SAT,Is phi_nmr equivalent to NMRPHI in all sheets?,Preserve original header and map as metadata.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,caliper,caliper,measured_input,borehole_qc,inches_or_mm_unresolved,recommended_qc,yes_header_visible,yes_expected,low,Use for borehole-quality filtering or downweighting,Do not use as hydrate evidence,What bit size and washout threshold should be used?,QC field that protects density sonic and resistivity features.
docs/NORTH_SLOPE_PROJECT_BASE.md; docs/WELL_LOG_REQUIREMENTS_MAP.md,Main ML header block,CAL1,caliper,measured_input,borehole_qc,inches_suggested_not_universal,recommended_qc,yes_header_visible,yes_expected,low,Use as caliper channel only after unit confirmation,Do not apply a universal washout threshold without bit size,Does CAL1 measure hole diameter or tool-specific caliper?,Original mnemonic must remain visible.
