parameter,family,headers_or_fields,planned_importance_percent,measures,hydrate_positive_side,hydrate_negative_or_false_side,primary_hydrate_effect,major_masks_or_false_positives,slide_caveat_summary,overburden_or_geologic_context,visual_icon_or_scene,icon_key,model_role,source_basis,confidence_before_workbook
Deep resistivity,electrical,"RES; Deep formation resistivity; A090; AF90; rt_ohm_m",18,"Formation electrical resistivity beyond the shallow invaded zone","Higher Rt can support hydrate only where clean reservoir, porosity, NMR/core, and elastic evidence agree","High Rt is non-unique and can occur without hydrate","Hydrate replaces conductive pore water and raises formation resistivity","Free gas; ice or permafrost; carbonate/cement; tight low-porosity rock; shale correction problems; water-resistivity/salinity assumptions; invasion or tool effects; washout","Can be mimicked by gas, ice, carbonate/cement, tight rock, shale correction, Rw/salinity, invasion, or bad hole","Needs lithology and local formation-water context before interpretation","Electric current paths blocked by hydrate-filled pores; horizontal scale low-to-high Rt","resistivity","Strong input feature, not a standalone label; interacts with porosity, GR, NMR, Vp, and Vs","Chong et al. 2022; Lee and Collett 2011; Haines et al. 2022; header map","medium"
NMR porosity / NMR saturation support,porosity-fluid,"NMRPHI; phi_nmr; NMR_SAT; nmr_porosity_vv",16,"NMR-visible pore fluid and porosity response; derived saturation when explicitly supplied","Reduced mobile-fluid response or NMR-density separation can support pore-filling hydrate","Clay-bound water, tool settings, missing NMR, or depth mismatch can confuse response","Hydrate occupies pore space and reduces mobile water signal relative to density/core porosity","Shale/clay bound water; poor depth match; missing NMR coverage; target-derived NMR_SAT leakage; tool processing settings","Can be distorted by clay-bound water, depth mismatch, missing coverage, processing settings, or target leakage","Needs depth alignment to density/core and target provenance","Pore-fluid signal shrinking inside a rock pore; lock icon on target-derived NMR_SAT","nmr","Input when NMRPHI is measured; target/calibration when NMR_SAT is derived","Chong et al. 2022; Lee and Collett 2011; Haines et al. 2022; header map","medium"
Vp / compressional velocity,elastic,"Vp; VP; VELP; vp_m_s; vp_km_s",13,"Compressional-wave velocity through the formation","Higher Vp can support hydrate stiffness when paired with Vs and clean reservoir context","Very low Vp can indicate gas; high Vp can also come from non-hydrate rock stiffness","Hydrate stiffens the sediment frame and raises compressional velocity","Overburden compaction; carbonate/cement; ice; competent lithology; stress; anisotropy; slowness-to-velocity conversion errors","Can be shifted by compaction, cement/carbonate, ice, lithology, stress, anisotropy, or unit conversion","Must correct for burial and rock type before comparing wells","Compression wave entering a rock block; horizontal scale slow-to-fast wave","vp","Input feature and source for acoustic impedance and elastic moduli","Chong et al. 2022; Lee and Collett 2011; Haines et al. 2022; equation docs","medium"
Vs / shear velocity,elastic,"Vs; VS; VS1; vs_m_s; vs_km_s",11,"Shear-wave velocity and frame rigidity","Higher Vs supports frame stiffening and helps separate hydrate from free gas","High Vs can also reflect competent non-hydrate lithology or stress effects","Hydrate increases rigidity; free gas affects Vp more strongly than Vs","Overburden compaction; cementation; carbonate; ice; competent lithology; stress; anisotropy; missing shear sonic","Can be shifted by compaction, cement/carbonate, ice, lithology, stress, anisotropy, or missing shear data","Needs overburden and lithology context for cross-well comparisons","Shear wave deforming a rock sideways; low-to-high rigidity scale","vs","Input feature and source for mu-rho, shear modulus, brittleness, and Vp/Vs","Chong et al. 2022; Lee and Collett 2011; Haines et al. 2022; equation docs","medium"
Density and density porosity,density-porosity,"Rho_b; RHOB; Density_gcpcc; Phi_porosity; DPHI; phi_den; rhob_g_cc; density_porosity_vv",11,"Bulk density and density-derived porosity","Porous sand with plausible density porosity supports reservoir capacity; density/NMR separation can support hydrate","Density alone is weak because hydrate-water density contrast is small","Density constrains porosity and elastic calculations more than direct hydrate presence","Overburden compaction; mineralogy; shale; carbonate; coal; unit confusion kg/m3 vs g/cc; borehole washout","Can be distorted by compaction, mineralogy, shale, carbonate, coal, unit confusion, or washout","Overburden map matters because burial pressure changes density/porosity baseline","Rock cube on scale plus pore-volume gauge; porosity scale from tight to open","density","Input feature and equation input; derived porosity needs provenance","Header map; equation docs; Helmold and LePain 2023; Lee and Collett 2011","medium"
Gamma ray / lithology,lithology,"GR; gr_api",10,"Natural gamma radiation used as a lithology and shale-volume indicator","Lower GR can indicate cleaner sand reservoir where hydrate could occupy pores","Low GR is not hydrate; high GR shale can degrade other logs and reduce reservoir quality","GR separates reservoir-quality sand from shale-prone non-reservoir intervals","Radioactive minerals; shale laminations; volcanic ash; clean non-hydrate sand; depth mismatch with core lithology","Can be confused by radioactive minerals, shale laminations, volcanic ash, clean no-hydrate sand, or core-log mismatch","Depositional fairway and stratigraphy control whether low-GR sand is meaningful","Clay/shale radiation icon versus clean sand bed; horizontal shale-to-sand scale","gamma","Input feature and reservoir gate, not a hydrate label","Header map; Helmold and LePain 2023; Lewis and Collett 2013","medium"
Caliper / differential caliper,borehole-QC,"caliper; CAL1; Differential Caliper; caliper_in",8,"Borehole diameter, gauge condition, and washout risk","In-gauge borehole supports trust in density, neutron, sonic, and resistivity response","Caliper is not hydrate evidence; it controls whether other curves can be trusted","Caliper is a quality gate, not hydrate evidence","Washout; rugosity; tool standoff; drilling damage; bit-size reference errors; differential-caliper sign convention","Bad hole can corrupt density, neutron, sonic, and resistivity before ML sees them","Bad-hole zones should be flagged before model fitting","Borehole gauge icon; green in-gauge side and red washout side","caliper","QC exclusion feature and missingness/routing flag","Chong et al. 2022; header map; runtime validation","high"
Vp/Vs ratio and acoustic impedance,derived-elastic,"Ratio Vp/Vs; Impedance; vp_vs_ratio; acoustic_impedance",5,"Derived elastic ratios from Vp, Vs, and density","Hydrate-consistent stiffness pattern can support phase interpretation when Vp, Vs, density, and lithology agree","Derived features inherit every error from input velocities and density","Combines wave speed and density to describe rock stiffness and phase response","Input dependency errors; unit conversion errors; overburden; lithology; gas; shale; carbonate; ice; stress","Can be wrong if Vp, Vs, density, units, lithology, stress, or bad-hole inputs are wrong","Must inherit provenance from Vp, Vs, and density; cannot be cleaner than inputs","Crossplot icon with hydrate/gas/water regions; positive side is multi-log agreement","elastic","Derived feature, not raw measured input","Equation docs; Lee and Collett 2011; Haines et al. 2022","medium"
Core porosity / permeability / lithology,core-calibration,"core porosity; permeability; lithology; core_quality",4,"Laboratory reservoir quality, lithology, and calibration evidence where available","Core confirms reservoir quality, calibration, and failure cases","Sparse, depth-offset, or poor-quality core can mislead if treated as continuous truth","Core anchors log interpretation and tests producibility assumptions","Depth mismatch; sampling bias; core disturbance; scale mismatch; sparse coverage; pressure-core quality","Can mislead if depth-shifted, disturbed, sparse, biased, or treated as continuous truth","Core intervals must be tied to log depth with offset flags","Core plug beside log track; calibration link line","core","Calibration and validation, not a direct public-data input","Project core-calibration scaffold; Helmold and LePain 2023","low until approved data"
Depth / pressure-temperature / overburden,context,"DEPTH; DEPT; Depth_ft; depth_m; pressure_mpa; temperature_c; future overburden map",4,"Depth, pressure-temperature admissibility, and burial/overburden context","Inside stability context and reasonable burial trend supports admissibility","Stability context is necessary but never proves hydrate by itself","Defines where hydrate can exist and how compaction/stress shifts log baselines","Stability alone; local thermal gradient; abnormal pressure; structural position; overburden variation; depth-unit or alignment errors","Can be overread if stability, overburden, depth units, pressure, temperature, or structure are wrong","Future Alaska North Slope overburden map should adjust density/velocity expectations","Vertical depth column plus overburden stack; depth remains un-normalized","depth","Context feature and split/alignment axis; depth is not normalized like privacy-controlled curves","Header map; USGS/Collett sources; overburden docs","medium"
