label,well_count,median_lat,median_lon,proposed_use
PRUDHOE BAY,3786,70.297335,-148.665248,"Primary large field label near main well cluster"
KUPARUK RIVER,2388,70.328342,-149.830184,"Primary large field label west of Prudhoe Bay"
MILNE POINT,681,70.467914,-149.574392,"Primary large field label north of Kuparuk/Prudhoe area"
COLVILLE RIVER,350,70.338155,-150.990165,"Secondary field label west of Kuparuk"
ENDICOTT,163,70.352128,-147.956219,"Secondary field label east/northeast of Prudhoe"
NIKAITCHUQ,77,70.557626,-149.903778,"Optional small label near offshore/northern cluster"
GREATER MOOSES TOOTH,42,70.173461,-151.689541,"Optional western development label"
NORTHSTAR,40,70.491307,-148.693313,"Optional offshore/northern label"
BADAMI,31,70.152226,-147.093982,"Optional eastern label"
OOOGURUK,29,70.495848,-150.246884,"Optional western/northern label"
BARROW,28,71.245987,-156.559131,"Regional orientation label, not central hydrate target label"
PIKKA,28,70.335659,-150.631816,"Optional label west of Kuparuk"
PT THOMSON,21,70.173139,-146.253645,"Optional eastern label"
WALAKPA,14,71.070940,-156.961527,"Regional orientation label"
SOUTHERN MILUVEACH,8,70.249293,-150.280243,"Optional label if map extent includes western cluster"
EAST UMIAT,3,69.344849,-151.861654,"Optional southern/southwest orientation label"
GUBIK,2,69.435194,-151.427769,"Optional southern/southwest orientation label"
SIMPSON,2,70.945556,-154.656667,"Optional northwest orientation label"
BEAR TOOTH,1,70.142945,-151.987265,"Do not label unless zoomed in"
ALKAID,1,69.985866,-148.701511,"Do not label unless zoomed in"
